pl_name,tic_id,hostname,ra,dec,disc_year,pl_orbper,pl_rade,pl_bmasse,st_teff,st_rad,st_mass,sy_dist
"Kepler-372 b","TIC 350810559","Kepler-372",291.2562253,49.2589288,2014,6.84969200000,1.36000000,2.42000000,6509.00,1.137000,1.202000,1493.95000000
"EPIC 212624936 c","TIC 2764004","EPIC 212624936",210.6376171,-10.0236852,2021,11.81143700000,2.30000000,5.90000000,5765.00,0.930000,1.000000,561.92900000
"WASP-44 b","TIC 12862099","WASP-44",3.9032733,-11.9382645,2011,2.42380400000,12.32990000,276.51210000,5420.00,0.906000,0.935000,364.51200000
"Kepler-1512 b","TIC 158989438","Kepler-1512",289.2744976,44.4704056,2016,20.35972599000,1.18000000,1.76000000,4372.00,0.670000,0.730000,162.00000000
"Qatar-2 b","TIC 2521105","Qatar-2",207.6554928,-6.8040714,2011,1.33711647000,14.05600000,792.63500000,4645.00,0.776000,0.743000,181.37400000
"TOI-286 b","TIC 150030205","TOI-286",90.9842762,-60.6663348,2024,4.51172440000,1.42000000,4.53000000,5152.00,0.780000,0.832000,59.22930000
"GJ 180 d","TIC 246902275","GJ 180",73.4600970,-17.7761940,2020,106.30000000000,2.66000000,7.56000000,3371.00,0.413049,0.430000,11.94070000
"Kepler-244 b","TIC 158426969","Kepler-244",287.2426410,42.3014185,2014,4.31179200000,2.76000000,8.05000000,5554.00,0.803000,0.933000,1036.49000000
"IRAS 04125+2902 b","TIC 56658270","IRAS 04125+2902",63.9283394,29.1665420,2024,8.83497800000,10.73820351,80.80000000,4080.00,1.450000,0.700000,159.24400000
"Kepler-51 e","TIC 27846348","Kepler-51",296.4797624,49.9376486,2024,264.28400000000,2.18000000,5.40000000,5674.00,0.870000,0.960000,783.83100000
"TOI-2076 e","TIC 27491137","TOI-2076",217.3920159,39.7903991,2025,3.02237530000,1.30100000,4.70000000,5187.00,0.758000,0.849000,41.90910000
"KELT-3 b","TIC 67666096","KELT-3",148.6431193,40.3879446,2013,2.70339000000,17.48604000,616.59020000,6304.00,1.700000,1.960000,210.25200000
"HAT-P-29 b","TIC 250707118","HAT-P-29",33.1310921,51.7787754,2011,5.72319000000,13.11453000,279.69040000,6087.00,1.300000,1.450000,313.57600000
"Wolf 1061 b","TIC 413948621","Wolf 1061",247.5748276,-12.6676866,2015,4.88690000000,1.21000000,1.91000000,3342.00,0.307000,0.294000,4.30592000
"Kepler-238 f","TIC 121460918","Kepler-238",287.8971066,40.6378141,2013,50.44700000000,2.00000000,13.50000000,5800.00,0.960000,1.060000,1798.75000000
"TYC 3318-01333-1 b","TIC 116376087","TYC 3318-01333-1",45.5825716,49.7441421,2018,562.00000000000,13.10000000,1086.97860000,4776.00,5.900000,1.190000,490.61000000
"Kepler-1010 b","TIC 158989909","Kepler-1010",289.1926026,44.1493165,2016,34.26857050000,2.32000000,5.99000000,5253.00,0.820000,0.860000,579.27300000
"Kepler-1230 b","TIC 237157859","Kepler-1230",283.2645129,41.7114526,2016,9.95661537000,2.71000000,7.80000000,5961.00,1.080000,1.060000,1364.22000000
